host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h5,319.699,0.0,55,2,10000000,112237.79178082192,40680248,286546,25.716307,0.965056,14.566292,67209812,62652416,4557396,6.780849201006543,3,h14
h7,277.566,0.0,81,3,10000000,120753.175,47954378,346892,25.819587,0.965589,14.633082,67209812,60293120,6916692,10.29119379176362,3,h14
h6,178.126,0.0,26,1,10000000,132955.19585253455,57285692,416863,21.29055,0.940262,12.237519,67209812,59244544,7965268,11.851346943211208,3,h14
h9,398.926,0.0,0,5,10000000,10771.904255319148,5196,1007363,37.571007,0.996624,24.716437,67209812,67371008,-161196,-0.239839980507608,3,h14
h11,,100.0,7,5,10000000,9479.280373831776,4908,1009375,29.333369,0.984505,18.098198,67209812,67108864,100948,0.1501983073542893,3,h10
h12,370.646,0.0,48,3,10000000,14194.95035460993,982760,1018728,27.985731,0.980901,17.189948,67209812,66846720,363092,0.5402365952161866,3,h10
h13,206.561,0.0,36,2,10000000,28924.511363636364,4057862,1032852,31.876032,0.986949,18.843427,67209812,66322432,887380,1.3203131709399811,3,h10
h1,340.741,0.0,66,3,10000000,39656.36666666667,7282130,1045707,32.770746,0.988805,19.509695,67209812,66846720,363092,0.5402365952161866,3,h14
h2,494.719,0.0,74,3,10000000,46839.07786885246,10347060,1081675,26.795243,0.968734,15.049265,67209812,65536000,1673812,2.490428034525673,3,h14
h3,528.178,0.0,53,2,10000000,65482.41366906475,15522742,2681369,24.622825,0.955355,13.502295,67209812,62128128,5081684,7.560925776730339,3,h14
h4,545.48,0.0,70,3,10000000,91737.45833333331,22723400,5898687,23.151776,0.944703,12.572948,67209812,59244544,7965268,11.851346943211208,3,h14
h5,350.072,0.0,46,2,10000000,124087.07803468208,32151970,10782159,22.135396,0.930909,11.605803,67209812,57671680,9538132,14.191576670382592,3,h14
h7,258.898,0.0,69,3,10000000,159967.53018372704,43546252,17401377,19.216338,0.91483,10.697142,67209812,56885248,10324564,15.361691533968283,3,h14
h8,258.613,0.0,76,3,10000000,191655.8843373494,46930532,32606660,27.452243,0.976111,16.21808,67209812,63438848,3770964,5.610734337420851,3,h10
h6,253.548,0.0,84,3,10000000,223949.0979955457,54182996,46370149,27.49865,0.976435,16.277393,67209812,61341696,5868116,8.73104064031603,3,h10
h11,208.697,0.0,51,2,10000000,8175.056179775281,4692,722888,36.622246,0.996023,24.004413,67209812,67371008,-161196,-0.239839980507608,3,h10
h12,214.479,0.0,169,2,10000000,7176.607843137255,5244,726770,36.923025,0.995723,23.688227,67209812,67371008,-161196,-0.239839980507608,3,h14
h13,211.139,0.0,54,2,10000000,12653.941176470587,984078,736858,35.542761,0.994108,22.297557,67209812,67108864,100948,0.1501983073542893,3,h14
h1,363.623,0.0,74,3,10000000,28304.63529411765,4060204,751584,29.468693,0.984203,18.014278,67209812,66060288,1149524,1.7103514588018789,3,h14
h2,423.487,0.0,98,4,10000000,39653.02941176471,7287598,801620,33.188555,0.992123,21.036526,67209812,67108864,100948,0.1501983073542893,3,h10
h3,644.028,0.0,104,4,10000000,56024.663865546216,10349648,2984222,29.614956,0.981946,17.434284,67209812,66060288,1149524,1.7103514588018789,3,h10
h4,355.182,0.0,73,3,10000000,84313.68014705883,15470180,7463141,26.558943,0.970918,15.363747,67209812,62914560,4295252,6.390810913144645,3,h10
h5,329.112,0.0,97,4,10000000,120866.5993485342,22785572,14320474,25.756422,0.966529,14.753362,67209812,60293120,6916692,10.29119379176362,3,h10
h7,330.762,0.0,100,4,10000000,163593.26099706744,32087752,23697550,21.605238,0.94498,12.594757,67209812,59506688,7703124,11.461308655349312,3,h10
h8,236.682,0.0,50,2,10000000,202417.83466666663,40631408,35275280,26.595484,0.970625,15.320237,67209812,62914560,4295252,6.390810913144645,3,h14
h9,300.452,0.0,76,3,10000000,237812.8533007335,47911238,49354219,25.862648,0.96639,14.735379,67209812,60555264,6654548,9.90115550390172,3,h14
h6,172.339,0.0,28,1,10000000,277784.66817155754,57228066,65830542,25.633728,0.963715,14.402739,67209812,59506688,7703124,11.461308655349312,3,h14
h12,269.978,0.0,78,3,10000000,3128.214285714286,4776,257994,29.902512,0.984488,18.09346,67209812,67108864,100948,0.1501983073542893,3,h10
h13,212.176,0.0,57,2,10000000,2718.122448979592,5034,261342,34.554633,0.994504,22.599462,67209812,67371008,-161196,-0.239839980507608,3,h14
h1,348.82,0.0,82,3,10000000,9588.848484848484,996020,269708,35.080847,0.992918,21.498408,67209812,67108864,100948,0.1501983073542893,3,h14
h2,293.727,0.0,72,3,10000000,26595.32530120482,4088700,326124,28.924441,0.978447,16.664844,67209812,66060288,1149524,1.7103514588018789,3,h14
h3,467.211,0.0,107,4,10000000,48912.585,7275696,2506821,34.170616,0.992973,21.532551,67209812,67108864,100948,0.1501983073542893,3,h10
h4,597.535,0.0,77,3,10000000,73935.12393162394,10349858,6950961,22.560264,0.960546,14.039042,67209812,65798144,1411668,2.1003897466637755,3,h10
h5,428.1,0.0,106,4,10000000,109169.97014925371,15511694,13745858,26.218302,0.968523,15.020085,67209812,62652416,4557396,6.780849201006543,3,h10
h7,333.232,0.0,106,4,10000000,150961.56953642383,22741206,22849188,25.949361,0.965768,14.655641,67209812,60293120,6916692,10.29119379176362,3,h10
h8,283.324,0.0,79,3,10000000,197653.31547619047,32065974,34345540,25.469681,0.963089,14.328464,67209812,59506688,7703124,11.461308655349312,3,h10
h9,272.259,0.0,75,3,10000000,239569.24528301888,40634750,48245440,26.32751,0.970659,15.325257,67209812,62914560,4295252,6.390810913144645,3,h14
