host,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h5,39.288944,0.99846,28.124143,67209812,67371008,-161196,-0.239839980507608,3,h14
h6,35.896612,0.996429,24.47209,67209812,67371008,-161196,-0.239839980507608,3,h10
h1,35.117207,0.995878,23.849438,67209812,67371008,-161196,-0.239839980507608,3,h14
h2,36.011541,0.994871,22.899807,67209812,67371008,-161196,-0.239839980507608,3,h14
h3,21.963442,0.875829,9.05981,67209812,67371008,-161196,-0.239839980507608,3,h10
h4,37.65658,0.997323,25.723832,67209812,67371008,-161196,-0.239839980507608,3,h10
h5,39.111582,0.997368,25.797909,67209812,67371008,-161196,-0.239839980507608,3,h14
h6,38.775344,0.997063,25.320395,67209812,67371008,-161196,-0.239839980507608,3,h10
h1,39.774216,0.998471,28.156431,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,39.771741,0.998483,28.191563,67209812,67371008,-161196,-0.239839980507608,3,h10
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h4,40.314843,0.99804,27.076631,67209812,67371008,-161196,-0.239839980507608,3,h14
h5,38.693016,0.997536,26.083183,67209812,67371008,-161196,-0.239839980507608,3,h10
h6,39.649214,0.998362,27.857204,67209812,67371008,-161196,-0.239839980507608,3,h14
h1,36.018127,0.995782,23.748909,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,32.586721,0.991694,20.80591,67209812,67108864,100948,0.1501983073542893,1,h10
h3,27.767469,0.97737,16.453114,67209812,65798144,1411668,2.1003897466637755,1,h10
h4,26.05033,0.966445,14.742385,67209812,62390272,4819540,7.170887488868441,1,h10
h5,25.686087,0.964505,14.498315,67209812,60293120,6916692,10.29119379176362,1,h10
h6,25.12422,0.960547,14.039153,67209812,59244544,7965268,11.851346943211208,1,h10
h1,32.593216,0.992161,21.05763,67209812,67371008,-161196,-0.239839980507608,1,h14
h2,33.421542,0.991675,20.79639,67209812,67108864,100948,0.1501983073542893,1,h14
h3,28.258379,0.979321,16.844733,67209812,65798144,1411668,2.1003897466637755,1,h14
h4,25.079095,0.965149,14.577836,67209812,62652416,4557396,6.780849201006543,1,h14
h5,25.644456,0.962963,14.313624,67209812,60030976,7178836,10.681232079625516,1,h14
h6,25.194414,0.960584,14.043307,67209812,59244544,7965268,11.851346943211208,1,h14
h1,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,40.717664,0.998605,28.555507,67209812,67371008,-161196,-0.239839980507608,3,h14
h3,37.710415,0.997556,26.119678,67209812,67371008,-161196,-0.239839980507608,3,h14
h4,37.625951,0.997427,25.895002,67209812,67371008,-161196,-0.239839980507608,3,h10
h5,37.549721,0.997472,25.97215,67209812,67371008,-161196,-0.239839980507608,3,h14
h6,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h10
h1,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h4,39.757088,0.99847,28.153672,67209812,67371008,-161196,-0.239839980507608,3,h14
h5,38.30277,0.997148,25.449218,67209812,67371008,-161196,-0.239839980507608,3,h10
h6,37.784238,0.996863,25.03446,67209812,67371008,-161196,-0.239839980507608,3,h10
h1,39.031789,0.998216,27.486972,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,34.967505,0.993423,21.819944,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,37.708425,0.997469,25.96716,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,40.624533,0.998498,28.234655,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h1,39.611334,0.998287,27.661205,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,39.462479,0.998065,27.132712,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,38.423807,0.997255,25.614006,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,21.655968,0.851669,8.287676,67209812,67371008,-161196,-0.239839980507608,2,h10
h1,39.763324,0.998454,28.107632,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,40.503504,0.998359,27.848681,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,35.911088,0.995623,23.587815,67209812,67371008,-161196,-0.239839980507608,2,h10
h1,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,39.376298,0.998303,27.70385,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,39.086543,0.998243,27.551187,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,37.680924,0.995932,23.905843,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,37.95066,0.997868,26.712379,67209812,67371008,-161196,-0.239839980507608,2,h10
h1,27.546539,0.97226,15.56892,67209812,66322432,887380,1.3203131709399811,2,h10
h2,35.460902,0.996273,24.286678,67209812,67371008,-161196,-0.23983998050760802,2,h14
h3,30.023818,0.984977,18.232311,67209812,67371008,-161196,-0.23983998050760802,2,h10
h4,18.019895,0.764712,6.283996,67209812,66060288,1149524,1.7103514588018787,2,h14
h5,29.921535,0.979734,16.932327,67209812,67108864,100948,0.1501983073542893,2,h10
h6,30.340206,0.989668,19.8583,67209812,67371008,-161196,-0.23983998050760802,2,h14
