host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,type,server
h8,525.927,0.0,39,2,10000000,669.2178217821782,5072,62519,36.169505,0.993868,22.123984,3,h14
h9,261.467,0.0,64,3,10000000,7980.21897810219,1015412,77878,31.491772,0.992554,21.280631,3,h14
h11,153.609,0.0,19,1,10000000,24820.15028901734,4192448,101438,25.585216,0.974879,15.999613,3,h14
h12,380.197,0.0,67,3,10000000,36470.61722488039,7508794,113565,31.036019,0.991179,20.544873,3,h10
h13,392.445,0.0,49,2,10000000,44158.77142857143,10677522,141377,25.412401,0.973107,15.70354,3,h10
h1,355.098,0.0,100,4,10000000,57830.62277580072,16013782,236623,26.774653,0.969567,15.16649,3,h10
h2,312.335,0.0,91,4,10000000,84229.95268138801,23456054,3244841,25.688029,0.962275,14.233731,3,h10
h3,310.223,0.0,105,4,10000000,120555.611898017,33108922,9447209,21.099942,0.940508,12.255424,3,h10
h4,340.032,0.0,75,3,10000000,155848.3059125964,41939242,18685749,25.384706,0.965402,14.6095,3,h14
h5,212.783,0.0,49,2,10000000,188903.93192488264,49420352,31052723,25.993977,0.965327,14.600077,3,h14
h6,155.391,0.0,23,1,10000000,228406.1233766233,59071488,46452141,25.562041,0.962563,14.267044,3,h14
h8,395.698,0.0,38,4,10000000,3792.2083333333335,4944,359108,36.417407,0.995723,23.688227,3,h14
h9,534.582,0.0,58,2,10000000,4791.605504587156,4862,517423,28.866258,0.981516,17.332085,3,h10
h11,215.115,0.0,57,2,10000000,10682.289655172412,1016560,532372,35.486237,0.993785,22.065788,3,h10
h12,260.243,0.0,81,3,10000000,26181.65193370165,4192280,546599,25.33648,0.971688,15.480294,3,h10
h13,409.745,0.0,31,2,10000000,36489.51152073733,7507518,410706,36.2967,0.99473,22.782016,3,h14
h1,550.619,0.0,67,3,10000000,44120.26877470356,10681908,480520,29.812346,0.983666,17.869052,3,h14
h2,361.444,0.0,60,3,10000000,63958.21453287197,16017416,2466508,26.797015,0.971462,15.445815,3,h14
h3,219.652,0.0,46,2,10000000,99568.0676923077,23489760,8869862,26.019175,0.968275,14.986014,3,h14
h4,380.422,0.0,65,3,10000000,145677.27977839336,33094444,19495054,11.699011,0.588791,3.859377,3,h14
h5,320.478,0.0,96,4,10000000,193149.2166246852,41935564,34744675,26.773681,0.971206,15.40696,3,h10
h6,266.923,0.0,74,3,10000000,239445.80369515013,49425032,54255001,25.863461,0.967924,14.938197,3,h10
h7,322.931,0.0,111,4,10000000,295331.38936170214,59012444,79793309,21.73665,0.946666,12.729924,3,h10
h9,,100.0,20,4,10000000,1669.1341463414635,4986,131883,36.689942,0.99536,23.334851,3,h14
h11,206.012,0.0,24,2,10000000,1477.4421052631578,4776,135581,37.009784,0.995976,23.953645,3,h10
h12,263.563,0.0,45,3,10000000,8868.12213740458,1016404,145320,34.594052,0.991728,20.824069,3,h10
h13,207.006,0.0,49,2,10000000,26061.62874251497,4192194,160098,29.815562,0.982422,17.550317,3,h10
h1,337.666,0.0,64,3,10000000,37825.28571428572,7507518,171015,34.787815,0.992116,21.032542,3,h14
h2,333.845,0.0,62,3,10000000,45584.30543933054,10679986,214663,29.530688,0.982374,17.53855,3,h14
h3,204.114,0.0,41,2,10000000,65293.25454545455,16017416,1938229,24.071301,0.962668,14.279139,3,h14
h4,338.648,0.0,64,3,10000000,92821.08360128615,23456136,5411221,25.682912,0.963838,14.417436,3,h14
h5,824.154,0.0,44,2,10000000,120958.98847262248,33182170,8790599,21.728327,0.945412,12.629002,3,h14
h6,890.076,0.0,68,3,10000000,132644.16666666666,41959690,8975670,26.362167,0.967994,14.947686,3,h10
h7,792.527,0.0,97,4,10000000,143956.1857142857,49442536,11019062,25.944827,0.9657,14.647091,3,h10
h8,553.691,0.0,68,3,10000000,162802.1403508772,59067850,15169926,21.994955,0.945095,12.603912,3,h10
h11,170.138,0.0,22,1,10000000,324.0444444444444,5070,24094,36.670241,0.996023,24.004862,3,h14
h12,448.033,0.0,40,3,10000000,341.2621359223301,4902,30248,36.588757,0.99587,23.840409,3,h10
h13,206.309,0.0,43,2,10000000,7630.510791366906,1022656,37985,36.574354,0.994703,22.759828,3,h10
h1,309.575,0.0,84,4,10000000,24238.6,4189604,52151,29.963579,0.981212,17.261198,3,h10
h2,669.698,0.0,69,3,10000000,35889.95734597156,7507602,65179,35.782719,0.99393,22.168269,3,h14
h3,361.786,0.0,41,2,10000000,43607.61538461538,10681964,89117,29.580985,0.982016,17.451221,3,h14
h4,352.343,0.0,67,3,10000000,57037.44876325088,16017500,124098,26.743008,0.970546,15.30863,3,h14
h5,210.027,0.0,41,2,10000000,74176.27586206897,23495942,166290,25.832205,0.966142,14.703427,3,h14
h6,160.193,0.0,21,1,10000000,94095.91549295776,33157358,246692,21.454235,0.943728,12.497113,3,h14
h7,312.166,0.0,89,4,10000000,113121.31202046036,41950048,2280385,26.536514,0.969774,15.196153,3,h10
h8,261.861,0.0,69,3,10000000,130772.92974238876,49411000,6429041,22.214015,0.950442,13.048846,3,h10
h9,206.863,0.0,50,2,10000000,155009.78617710582,59063306,12706225,22.014933,0.943537,12.482339,3,h10
h12,283.385,0.0,62,3,10000000,668.6625,4776,48717,35.880787,0.994902,22.926028,3,h10
h13,526.654,0.0,48,2,10000000,684.8387096774194,5028,58662,35.482347,0.994618,22.690382,3,h14
h1,340.12,0.0,84,3,10000000,8321.83076923077,1014386,67452,33.530035,0.991332,20.620889,3,h14
h2,254.814,0.0,73,3,10000000,25961.192771084337,4189730,119828,25.453357,0.973115,15.70493,3,h14
h3,304.775,0.0,89,4,10000000,49691.13861386139,7506284,2531326,30.343001,0.987979,19.200437,3,h10
h4,520.531,0.0,66,3,10000000,76392.56302521008,10681670,7499760,27.398316,0.97943,16.867727,3,h10
h5,414.445,0.0,91,4,10000000,112017.83636363636,15961426,14843479,26.716391,0.971143,15.397467,3,h10
h6,265.153,0.0,62,3,10000000,154788.45980707396,23451372,24687839,24.907262,0.957926,13.759912,3,h10
h7,317.14,0.0,91,4,10000000,202288.51008645527,33383258,36810855,25.359898,0.962105,14.214188,3,h10
h8,219.227,0.0,48,2,10000000,243312.6788511749,41878256,51310500,26.584769,0.970542,15.307944,3,h14
h9,263.603,0.0,66,3,10000000,278539.5523809524,49415964,67570648,22.17243,0.949735,12.987358,3,h14
h11,158.889,0.0,23,1,10000000,320128.9956140351,59063548,86915274,21.257182,0.945362,12.625044,3,h14
h13,218.954,0.0,49,2,10000000,912.8481012658228,4818,67297,36.880182,0.996144,24.138763,3,h10
h1,636.615,0.0,69,3,10000000,815.9021739130435,4902,70161,36.368212,0.995678,23.642659,3,h14
h2,354.402,0.0,68,3,10000000,8552.9765625,1015172,79609,35.595362,0.993607,21.942968,3,h14
h3,204.004,0.0,43,2,10000000,26202.469512195123,4202876,94329,29.187798,0.979262,16.832292,3,h14
h4,546.56,0.0,81,3,10000000,38157.145,7507350,124079,35.307565,0.993537,21.895864,3,h10
h5,442.714,0.0,98,4,10000000,45918.148305084746,10679748,156935,28.788502,0.978737,16.723666,3,h10
h6,263.35,0.0,76,3,10000000,59634.27205882353,16017248,203274,26.058987,0.966306,14.724414,3,h10
h7,317.735,0.0,103,4,10000000,77189.48051948052,23518812,255548,24.125979,0.960815,14.068778,3,h10
h8,262.356,0.0,76,3,10000000,97264.55813953489,33142502,316506,25.488325,0.962661,14.278404,3,h10
h9,262.139,0.0,78,3,10000000,110932.33858267716,41939240,325981,25.618748,0.966498,14.749318,3,h14
h11,161.392,0.0,26,1,10000000,119489.19664268586,49439634,387361,25.667384,0.964674,14.519066,3,h14
h12,214.098,0.0,52,2,10000000,131419.18101545254,59074996,457893,21.129422,0.942268,12.38581,3,h14
h7,272.665,0.0,84,3,10000000,3612.060240963856,5112,294689,36.330916,0.9961,24.089212,3,h14
h8,582.134,0.0,72,3,10000000,5603.197916666667,4650,533257,31.721183,0.993098,21.61039,3,h10
h9,207.763,0.0,52,2,10000000,11832.280303030304,1014008,547853,33.287838,0.989075,19.615687,3,h10
h11,207.404,0.0,50,2,10000000,28328.75595238096,4187346,571885,28.831206,0.982176,17.489871,3,h10
h12,286.951,0.0,62,2,10000000,38434.37745098039,7505576,335037,24.717304,0.930979,11.610205,3,h14
h13,400.048,0.0,46,2,10000000,45965.7625,10682090,349693,26.431498,0.976047,16.206324,3,h14
h6,212.962,0.0,25,1,10000000,59406.04710144927,16017556,378513,26.784575,0.970183,15.255365,3,h14
h5,296.78,0.0,47,2,10000000,76845.80448717948,23523076,452815,23.144481,0.920349,10.988094,3,h14
h4,258.983,0.0,73,3,10000000,103345.11206896552,33106312,2857787,20.405077,0.899467,9.976924,3,h14
h3,310.603,0.0,95,4,10000000,130520.90885416669,41952362,8167667,23.546088,0.922525,11.108394,3,h10
h2,313.9,0.0,96,4,10000000,154904.63420427553,49424526,15790325,23.428335,0.958354,13.804318,3,h10
h1,313.649,0.0,103,4,10000000,186135.60393873084,59068516,25995455,21.348511,0.944348,12.545217,3,h10
h8,254.79,0.0,32,2,10000000,10546.537634408602,5154,975674,26.754429,0.972525,15.610583,3,h14
h9,416.018,0.0,46,2,10000000,9267.16037735849,4860,977459,36.540146,0.996023,24.004862,3,h10
h11,207.41,0.0,44,2,10000000,14115.49295774648,1015200,989200,35.22469,0.993419,21.816812,3,h10
h12,256.334,0.0,66,3,10000000,29007.787709497206,4189562,1002832,30.48624,0.985144,18.280841,3,h10
h13,203.019,0.0,63,2,10000000,39642.34418604651,7506746,1016358,34.381211,0.992623,21.321366,3,h14
h6,450.967,0.0,38,1,10000000,46666.68525896414,10682090,1031248,30.078406,0.98448,18.091087,3,h14
h5,459.719,0.0,60,2,10000000,59647.35191637631,16017668,1101122,26.666063,0.971291,15.419812,3,h14
h4,269.354,0.0,82,3,10000000,83681.69040247679,23519190,3509996,25.95104,0.967805,14.922142,3,h14
h3,206.402,0.0,57,2,10000000,115591.9442896936,33163540,8333968,21.292488,0.945259,12.616845,3,h14
h2,319.701,0.0,85,4,10000000,145816.47848101266,41939282,15658227,25.30096,0.961165,14.107815,3,h10
h1,312.777,0.0,90,4,10000000,177518.8932714617,49358744,27151899,23.799097,0.961489,14.144151,3,h10
h7,312.223,0.0,85,4,10000000,218355.0385438972,58978912,42992891,20.960275,0.932673,11.718137,3,h10
h9,220.747,0.0,50,2,10000000,21159.75,4734,1772685,34.953413,0.994306,22.445495,3,h10
h11,431.475,0.0,20,1,10000000,18375.886597938144,5196,1777265,36.86305,0.996195,24.196591,3,h14
h12,,100.0,30,3,10000000,21169.0977443609,1015536,1799954,33.833435,0.991233,20.57163,3,h14
h13,205.368,0.0,30,2,10000000,35546.420118343194,4192614,1814731,25.837294,0.975417,16.093602,3,h14
h6,257.167,0.0,52,3,10000000,45534.86341463414,7506284,1828363,33.791711,0.990599,20.268082,3,h10
h5,309.608,0.0,87,4,10000000,51968.86721991701,10681586,1842911,25.712363,0.971394,15.435471,3,h10
h4,256.871,0.0,76,3,10000000,64579.63176895307,16017122,1871436,26.962429,0.972682,15.635439,3,h10
h3,307.11,0.0,97,4,10000000,81237.00638977636,23522488,1904695,25.675674,0.962812,14.295927,3,h10
h2,937.884,0.0,95,4,10000000,100421.54727793696,33099874,1947246,25.132617,0.961614,14.15826,3,h10
h1,838.75,0.0,70,3,10000000,113912.792746114,41958806,2011532,26.846647,0.969717,15.188019,3,h14
h7,735.513,0.0,83,3,10000000,122088.98578199052,49420896,2100656,25.753777,0.964411,14.486809,3,h14
h8,519.436,0.0,47,2,10000000,138912.06986899563,59091534,4530194,21.238924,0.943688,12.49398,3,h14
h11,186.394,0.0,24,1,10000000,3456.951219512195,4944,278526,36.292064,0.995554,23.520501,3,h14
h12,377.571,0.0,59,3,10000000,3036.442105263158,4734,283728,36.606479,0.995983,23.961487,3,h10
h13,207.898,0.0,37,2,10000000,10055.687022900764,1016362,300933,34.36393,0.991583,20.748416,3,h10
h6,257.089,0.0,66,3,10000000,26999.88622754491,4185090,323891,25.580624,0.973846,15.824627,3,h10
h5,444.781,0.0,46,2,10000000,38694.61083743842,7506578,348428,36.644954,0.994872,22.900801,3,h14
h4,424.826,0.0,69,3,10000000,46280.69037656904,10680940,380145,29.056163,0.979928,16.97404,3,h14
h3,298.225,0.0,49,2,10000000,59394.159420289856,15966920,425868,27.609143,0.971794,15.496518,3,h14
h2,264.993,0.0,70,3,10000000,76747.57692307692,23446818,498426,25.684441,0.963201,14.341646,3,h14
h1,261.496,0.0,80,3,10000000,101457.08620689657,33094402,2212664,25.462296,0.963258,14.34835,3,h14
h7,313.05,0.0,84,4,10000000,124033.52604166669,41935310,5693564,26.603542,0.971002,15.376318,3,h10
h8,258.587,0.0,62,3,10000000,143484.41428571427,49387396,10876058,25.864135,0.965211,14.585555,3,h10
h9,206.38,0.0,36,2,10000000,168555.16666666666,58972432,17888724,25.333572,0.960765,14.063217,3,h10
