host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,h10gelen,h10giden,h10toplam,h14gelen,h14giden,h14toplam,type,server,tahmin_mos,real_mos
h13,261.75,0.0,53,2,10000000,19.826275,0.902146,10.094194,67209812,57147392,10062420,15.211493226613996,57326402,3471382,265647834,76256502,3144049,379113861,6,h10,[2.8802448],3
h21,446.323,0.0,71,3,10000000,18.60003,0.863484,8.64818,67209812,54001664,13208148,19.891952680956763,69293360,3557550,338498744,89034936,3235765,471384562,6,h14,[2.68814795],2
h22,332.805,0.0,81,3,10000000,18.819258,0.85767,8.467033,67209812,52953088,14256724,21.45210583240436,81787200,3649070,423935014,103416856,3330857,578132275,6,h14,[2.4001537],2
h6,336.49,0.0,79,3,10000000,22.015574,0.913323,10.620958,67209812,56360960,10848852,16.381608090199688,94310220,3750940,521996174,119916828,3432255,701481358,6,h10,[2.47820627],3
h1,343.62,0.0,57,3,10000000,36.057617,0.995108,23.105199,67209812,67371008,-161196,0.0,9984,1725140,1735124,9860,1457236,1467096,6,h14,0,5
h2,312.256,0.0,97,4,10000000,36.415251,0.995336,23.312498,67209812,67371008,-161196,0.0,10866,1727056,3473046,1938436,1466988,4872520,6,h10,[4.36757408],5
h3,324.078,0.0,106,4,10000000,34.654678,0.991885,20.907127,67209812,67108864,100948,0.3900382878618973,1436146,1734596,6643788,4010920,1477966,10361406,6,h10,[3.90904303],5
h4,568.872,0.0,78,3,10000000,26.952505,0.968491,15.015649,67209812,66584576,625236,1.170114863585692,4957576,1751726,13353090,6114262,1481224,17956892,6,h14,[3.65227999],4
h5,648.456,0.0,112,4,10000000,25.699675,0.975828,16.166848,67209812,66060288,1149524,1.9501914393094864,9154548,1781188,24288826,10119496,1502264,29578652,6,h10,[4.04390254],4
h7,1287.893,0.0,74,3,10000000,23.552114,0.930334,11.56982,67209812,64225280,2984532,4.680459454342768,14772734,1817698,40879258,14315256,1524386,45418294,6,h14,[3.98543222],3
h8,274.512,0.0,87,3,10000000,26.949252,0.970631,15.321077,67209812,62914560,4295252,6.630650893652254,21060458,1890450,63830166,20361974,1579264,67359532,6,h10,[3.83204901],4
h9,213.379,0.0,55,2,10000000,26.11783,0.966217,14.713033,67209812,60293120,6916692,10.531033772271227,28715858,1944797,94490821,26680484,1617276,95657292,6,h10,[3.60149663],4
h11,1155.695,0.0,24,1,10000000,21.121145,0.900078,10.00337,67209812,59768832,7440980,11.311110347995022,38513308,2008520,135012649,32907788,1662644,130227724,6,h14,[3.59165463],3
h12,1114.552,0.0,51,2,10000000,18.329685,0.870892,8.890463,67209812,55836672,11373140,17.16168466592348,49044502,2075562,186132713,41163382,1721802,173112908,6,h14,[3.63627748],2
h13,936.968,0.0,43,2,10000000,19.546382,0.872348,8.939723,67209812,53739520,13470292,20.28199096881866,59422840,2143264,247698817,51397210,1785792,226295910,6,h14,[3.53094507],2
h21,980.344,0.0,70,3,10000000,18.421628,0.857558,8.463609,67209812,52428800,14781012,22.232182408128143,69976636,2216744,319892197,63838188,1863084,291997182,6,h14,[2.85243966],2
h22,939.286,0.0,63,3,10000000,18.234495,0.852064,8.299276,67209812,51380224,15829588,23.792335559575736,80454762,2442001,402788960,78379278,2269003,372645463,6,h14,[2.43065711],2
h23,1225.421,0.0,42,2,10000000,19.407312,0.861148,8.574465,67209812,50331648,16878164,25.352488711023323,90936734,6625937,500351631,94852940,6698421,474196824,6,h14,[2.34650538],2
h6,252.909,0.0,85,3,10000000,25.217952,0.960833,14.070787,67209812,59506688,7703124,11.70114863585692,101304534,14833157,616489322,113052352,15206693,602455869,6,h10,[2.37979678],4
