host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
h8,1493.139,0.0,113,2,10000000,18.803639,0.785129,6.678232,67209812,63963136,3246676,4.830657761697057,1,h14,2
h9,,100.0,114,3,10000000,17.157145,0.727032,5.638878,67209812,59244544,7965268,11.851346943211208,1,h14,2
h11,236.427,0.0,94,1,10000000,15.496829,0.675212,4.883994,67209812,51904512,15305300,22.77241900334433,1,h14,2
h12,1238.713,0.0,104,2,10000000,15.252122,0.653023,4.596989,67209812,45875200,21334612,31.74329962416797,1,h14,2
h13,1176.711,0.0,110,2,10000000,14.692242,0.627417,4.287766,67209812,42205184,25004628,37.20383565423454,1,h14,2
h21,1600.8,0.0,155,4,10000000,10.875955,0.494212,2.960312,67209812,58982400,8227412,12.241385231073105,1,h14,1
h22,1176.311,0.0,134,3,10000000,13.636447,0.59416,3.916452,67209812,35651584,31558228,46.95479285078197,1,h14,2
h23,1313.957,0.0,155,4,10000000,13.89989,0.585903,3.828982,67209812,33292288,33917524,50.46513744153904,1,h14,2
h1,1274.959,0.0,155,4,10000000,13.857168,0.60133,3.993863,67209812,30670848,36538964,54.36552032015801,1,h14,2
h2,1210.933,0.0,134,3,10000000,14.482655,0.616879,4.166644,67209812,28835840,38373972,57.0957883351913,1,h14,2
h3,1178.289,0.0,155,4,10000000,13.993998,0.604237,4.025651,67209812,27525120,39684692,59.04597977450078,1,h14,2
h4,1062.733,0.0,127,3,10000000,14.445866,0.60935,4.082118,67209812,25690112,41519700,61.77624778953407,1,h14,2
h5,965.027,0.0,111,2,10000000,14.147961,0.612245,4.114428,67209812,24117248,43092564,64.11647751670544,1,h14,2
h6,931.874,0.0,94,1,10000000,13.964211,0.607665,4.063434,67209812,22806528,44403284,66.06666895601492,1,h14,2
h8,1779.232,0.0,45,2,10000000,29.367267,0.97542,16.094163,67209812,67108864,100948,0.1501983073542893,1,h14,4
h9,968.145,0.0,61,3,10000000,20.844488,0.911509,10.531021,67209812,65011712,2198100,3.270504610249468,1,h14,3
h11,1226.223,0.0,24,1,10000000,19.252766,0.853094,8.329615,67209812,60555264,6654548,9.90115550390172,1,h14,2
h12,1255.355,0.0,47,2,10000000,16.500207,0.767905,6.343346,67209812,53477376,13732436,20.43218927617295,1,h14,2
h13,1102.45,0.0,49,2,10000000,16.343047,0.73741,5.807213,67209812,47972352,19237460,28.622993321272794,1,h14,2
h21,437.286,0.0,89,4,10000000,8.154574,0.520711,3.194024,67209812,55836672,11373140,16.921844685415873,1,h14,2
h22,265.911,0.0,68,3,10000000,14.648808,0.666026,4.762876,67209812,40894464,26315348,39.154027093544016,1,h14,2
