host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
74,3.0,10000000.0,20.721894,0.892333,9.679176,67209812.0,62652416.0,4557396.0,6.780849201006543,1,h14,,,,
48,2.0,10000000.0,17.713006,0.819563,7.436742,67209812.0,56360960.0,10848852.0,16.14176810969208,1,h14,,,,
69,3.0,10000000.0,17.42025,0.803111,7.057787,67209812.0,51380224.0,15829588.0,23.55249557906813,1,h14,,,,
51,2.0,10000000.0,15.922191,0.770122,6.385032,67209812.0,48234496.0,18975316.0,28.232955033410896,1,h14,,,,
71,3.0,10000000.0,16.075257,0.74697,5.968286,67209812.0,45613056.0,21596756.0,32.133337912029866,1,h14,,,,
26,1.0,10000000.0,15.891209,0.732995,5.734804,67209812.0,43253760.0,23956052.0,35.643682502786945,1,h14,,,,
52,2.0,10000000.0,16.149111,0.724869,5.604608,67209812.0,41156608.0,26053204.0,38.76398880568212,1,h14,,,,
48,2.0,10000000.0,15.880475,0.719656,5.523091,67209812.0,38535168.0,28674644.0,42.664371684301095,1,h14,,,,
65,3.0,10000000.0,15.642338,0.705562,5.310068,67209812.0,36438016.0,30771796.0,45.78467798719628,1,h14,,,,
24,1.0,10000000.0,15.910591,0.69635,5.176266,67209812.0,34865152.0,32344660.0,48.12490771436766,1,h14,,,,
41,2.0,10000000.0,31.410605,0.985213,18.301146,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h14,,,,
50,4.0,10000000.0,24.250411,0.947758,12.819833,67209812.0,65798144.0,1411668.0,2.1003897466637755,1,h14,,,,
41,2.0,10000000.0,20.226494,0.888772,9.537864,67209812.0,62652416.0,4557396.0,6.780849201006543,1,h14,,,,
26,3.0,10000000.0,18.371719,0.831906,7.744468,67209812.0,56360960.0,10848852.0,16.14176810969208,1,h14,,,,
0,2.0,10000000.0,17.277798,0.799397,6.976622,67209812.0,51380224.0,15829588.0,23.55249557906813,1,h14,,,,
24,3.0,10000000.0,16.270127,0.769215,6.367934,67209812.0,48234496.0,18975316.0,28.232955033410896,1,h14,,,,
0,1.0,10000000.0,16.164216,0.746771,5.964872,67209812.0,45350912.0,21858900.0,32.52337619989177,1,h14,,,,
0,2.0,10000000.0,16.022102,0.73347,5.74254,67209812.0,42991616.0,24218196.0,36.03372079064884,1,h14,,,,
24,3.0,10000000.0,16.003827,0.721341,5.54927,67209812.0,40632320.0,26577492.0,39.54406538140592,1,h14,,,,
25,3.0,10000000.0,15.899654,0.711375,5.39666,67209812.0,38273024.0,28936788.0,43.05440997216299,1,h14,,,,
51,4.0,10000000.0,15.548695,0.699047,5.21502,67209812.0,36175872.0,31033940.0,46.17471627505817,1,h14,,,,
19,1.0,10000000.0,15.351118,0.691028,5.100816,67209812.0,34865152.0,32344660.0,48.12490771436766,1,h14,,,,
77,3.0,10000000.0,34.428192,0.990778,20.351884,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h14,,,,
52,2.0,10000000.0,24.788468,0.948111,12.849248,67209812.0,65798144.0,1411668.0,2.1003897466637755,1,h14,,,,
59,3.0,10000000.0,19.921199,0.881965,9.279896,67209812.0,62390272.0,4819540.0,7.170887488868441,1,h14,,,,
52,2.0,10000000.0,18.44363,0.83037,7.704981,67209812.0,56360960.0,10848852.0,16.14176810969208,1,h14,,,,
74,3.0,10000000.0,16.637589,0.790872,6.795872,67209812.0,51118080.0,16091732.0,23.942533866930024,1,h14,,,,
26,1.0,10000000.0,16.022153,0.765888,6.305762,67209812.0,47972352.0,19237460.0,28.622993321272794,1,h14,,,,
52,2.0,10000000.0,16.052732,0.745156,5.937249,67209812.0,45350912.0,21858900.0,32.52337619989177,1,h14,,,,
48,2.0,10000000.0,15.805205,0.724055,5.591779,67209812.0,42991616.0,24218196.0,36.03372079064884,1,h14,,,,
78,3.0,10000000.0,16.224623,0.723451,5.582281,67209812.0,40894464.0,26315348.0,39.154027093544016,1,h14,,,,
103,4.0,10000000.0,15.807349,0.7172,5.485213,67209812.0,38273024.0,28936788.0,43.05440997216299,1,h14,,,,
51,2.0,10000000.0,15.704328,0.708587,5.354917,67209812.0,36175872.0,31033940.0,46.17471627505817,1,h14,,,,
26,1.0,10000000.0,15.247822,0.686384,5.036022,67209812.0,34603008.0,32606804.0,48.51494600222955,1,h14,,,,
49,2.0,10000000.0,35.026055,0.993314,21.748269,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h14,,,,
69,3.0,10000000.0,21.590017,0.93416,11.815123,67209812.0,65798144.0,1411668.0,2.1003897466637755,1,h14,,,,
49,2.0,10000000.0,20.864405,0.883026,9.319106,67209812.0,62390272.0,4819540.0,7.170887488868441,1,h14,,,,
67,4.0,10000000.0,18.440595,0.831066,7.722827,67209812.0,56098816.0,11110996.0,16.53180639755398,1,h14,,,,
20,1.0,10000000.0,17.369743,0.797741,6.940912,67209812.0,51380224.0,15829588.0,23.55249557906813,1,h14,,,,
46,2.0,10000000.0,16.121752,0.764121,6.273113,67209812.0,47972352.0,19237460.0,28.622993321272794,1,h14,,,,
53,2.0,10000000.0,16.238115,0.74611,5.953538,67209812.0,45350912.0,21858900.0,32.52337619989177,1,h14,,,,
75,3.0,10000000.0,16.222557,0.734094,5.752714,67209812.0,42991616.0,24218196.0,36.03372079064884,1,h14,,,,
65,4.0,10000000.0,17.052092,0.735711,5.779206,67209812.0,40894464.0,26315348.0,39.154027093544016,1,h14,,,,
78,2.0,10000000.0,16.095782,0.716324,5.471771,67209812.0,38273024.0,28936788.0,43.05440997216299,1,h14,,,,
56,3.0,10000000.0,16.550696,0.710475,5.38314,67209812.0,36175872.0,31033940.0,46.17471627505817,1,h14,,,,
28,1.0,10000000.0,15.588232,0.689709,5.082304,67209812.0,34603008.0,32606804.0,48.51494600222955,1,h14,,,,
0,3.0,10000000.0,31.744089,0.989044,19.603572,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h14,,,,
30,5.0,10000000.0,35.199215,0.994393,22.512929,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h10,,,,
0,2.0,10000000.0,32.454371,0.98926,19.689829,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h14,,,,
51,5.0,10000000.0,33.735441,0.99071,20.319727,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h10,,,,
0,2.0,10000000.0,28.857236,0.979476,16.877362,67209812.0,65798144.0,1411668.0,2.1003897466637755,2,h14,,,,
53,5.0,10000000.0,26.868639,0.97427,15.895546,67209812.0,65536000.0,1673812.0,2.490428034525673,2,h10,,,,
23,4.0,10000000.0,26.375698,0.967168,14.837003,67209812.0,62390272.0,4819540.0,7.170887488868441,2,h14,,,,
42,4.0,10000000.0,26.410994,0.967494,14.88037,67209812.0,62390272.0,4819540.0,7.170887488868441,2,h10,,,,
24,1.0,10000000.0,25.717104,0.965925,14.675701,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h14,,,,
42,3.0,10000000.0,26.102108,0.96698,14.812204,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h10,,,,
0,2.0,10000000.0,25.450104,0.963409,14.366295,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h14,,,,
30,3.0,10000000.0,21.853184,0.945607,12.644556,67209812.0,59244544.0,7965268.0,11.851346943211208,2,h10,,,,
51,2.0,10000000.0,36.010887,0.995115,23.111283,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h14,,,,
101,3.0,10000000.0,34.229623,0.992698,21.365694,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h10,,,,
46,2.0,10000000.0,34.626597,0.992825,21.44206,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h14,,,,
100,4.0,10000000.0,34.707295,0.993384,21.793965,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h10,,,,
49,2.0,10000000.0,28.402085,0.978437,16.662943,67209812.0,66060288.0,1149524.0,1.7103514588018789,2,h14,,,,
54,2.0,10000000.0,26.099773,0.977803,16.53713,67209812.0,66060288.0,1149524.0,1.7103514588018789,2,h10,,,,
26,1.0,10000000.0,26.683765,0.971536,15.45697,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h14,,,,
77,3.0,10000000.0,26.722283,0.970816,15.348499,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h10,,,,
47,2.0,10000000.0,25.854697,0.966112,14.699576,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h14,,,,
123,5.0,10000000.0,25.647687,0.961611,14.157981,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h10,,,,
71,3.0,10000000.0,21.294141,0.94384,12.505753,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h14,,,,
77,3.0,10000000.0,21.231451,0.944354,12.545643,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h10,,,,
73,3.0,10000000.0,36.051472,0.995367,23.341067,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h14,,,,
95,4.0,10000000.0,34.880802,0.994274,22.421682,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h10,,,,
77,3.0,10000000.0,36.4324,0.994572,22.65382,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h14,,,,
95,4.0,10000000.0,35.655318,0.994064,22.265037,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h10,,,,
75,3.0,10000000.0,26.094719,0.978179,16.61122,67209812.0,66060288.0,1149524.0,1.7103514588018789,2,h14,,,,
76,3.0,10000000.0,29.473646,0.982426,17.551263,67209812.0,66060288.0,1149524.0,1.7103514588018789,2,h10,,,,
77,3.0,10000000.0,26.220119,0.970102,15.243536,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h14,,,,
46,2.0,10000000.0,27.034497,0.969561,15.165633,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h10,,,,
61,2.0,10000000.0,25.874113,0.965346,14.602495,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h14,,,,
46,2.0,10000000.0,25.858495,0.965094,14.570953,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h10,,,,
70,3.0,10000000.0,20.930618,0.937118,12.014744,67209812.0,59244544.0,7965268.0,11.851346943211208,2,h14,,,,
72,3.0,10000000.0,21.006564,0.940072,12.223728,67209812.0,59244544.0,7965268.0,11.851346943211208,2,h10,,,,
74,3.0,10000000.0,36.670241,0.996023,24.004862,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h14,,,,
71,4.0,10000000.0,29.940192,0.989524,19.798137,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h10,,,,
73,3.0,10000000.0,35.687377,0.993667,21.983819,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h14,,,,
52,3.0,10000000.0,35.407406,0.993494,21.867153,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h10,,,,
53,3.0,10000000.0,25.483354,0.972275,15.571287,67209812.0,66060288.0,1149524.0,1.7103514588018789,2,h14,,,,
27,2.0,10000000.0,29.774003,0.983433,17.807671,67209812.0,66060288.0,1149524.0,1.7103514588018789,2,h10,,,,
48,2.0,10000000.0,26.333726,0.970923,15.364435,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h14,,,,
23,2.0,10000000.0,24.648264,0.965447,14.615132,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h10,,,,
72,3.0,10000000.0,24.892236,0.959501,13.925512,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h14,,,,
66,4.0,10000000.0,25.78765,0.964393,14.484698,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h10,,,,
49,2.0,10000000.0,22.130321,0.945984,12.674772,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h14,,,,
48,3.0,10000000.0,21.325693,0.942202,12.380885,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h10,,,,
27,2.0,10000000.0,32.925835,0.994262,22.412306,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h14,,,,
92,5.0,10000000.0,36.244699,0.994956,22.972474,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h10,,,,
43,2.0,10000000.0,33.502555,0.991936,20.934722,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h14,,,,
54,2.0,10000000.0,33.041947,0.98947,19.775715,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h10,,,,
26,1.0,10000000.0,25.543402,0.973259,15.72828,67209812.0,65798144.0,1411668.0,2.1003897466637755,2,h14,,,,
66,3.0,10000000.0,28.701312,0.980598,17.121571,67209812.0,65798144.0,1411668.0,2.1003897466637755,2,h10,,,,
25,2.0,10000000.0,27.288162,0.970078,15.240088,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h14,,,,
67,4.0,10000000.0,26.057857,0.970381,15.284285,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h10,,,,
50,5.0,10000000.0,25.778302,0.963391,14.364161,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h14,,,,
80,5.0,10000000.0,25.879678,0.963831,14.416645,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h10,,,,
39,3.0,10000000.0,25.478985,0.961426,14.137032,67209812.0,59244544.0,7965268.0,11.851346943211208,2,h14,,,,
63,3.0,10000000.0,21.097267,0.941235,12.308801,67209812.0,59244544.0,7965268.0,11.851346943211208,2,h10,,,,
60,6.0,10000000.0,23.360686,0.958687,13.839109,67209812.0,64487424.0,2722388.0,4.050581185973262,2,h10,,,,
10,3.0,10000000.0,23.246334,0.948764,12.904287,67209812.0,64487424.0,2722388.0,4.050581185973262,2,h14,,,,
44,5.0,10000000.0,21.72127,0.939521,12.18392,67209812.0,64225280.0,2984532.0,4.440619473835159,2,h10,,,,
39,3.0,10000000.0,21.13784,0.935824,11.926281,67209812.0,64225280.0,2984532.0,4.440619473835159,2,h14,,,,
55,5.0,10000000.0,25.066687,0.947616,12.808014,67209812.0,62390272.0,4819540.0,7.170887488868441,2,h10,,,,
38,3.0,10000000.0,23.787894,0.948739,12.902113,67209812.0,62652416.0,4557396.0,6.780849201006543,2,h14,,,,
49,3.0,10000000.0,24.965869,0.964839,14.539446,67209812.0,62652416.0,4557396.0,6.780849201006543,2,h10,,,,
39,3.0,10000000.0,24.798763,0.963506,14.377749,67209812.0,62652416.0,4557396.0,6.780849201006543,2,h14,,,,
37,2.0,10000000.0,25.78648,0.965376,14.606262,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h10,,,,
20,2.0,10000000.0,25.652694,0.96491,14.548107,67209812.0,60293120.0,6916692.0,10.29119379176362,2,h14,,,,
48,2.0,10000000.0,25.432099,0.962374,14.245112,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h10,,,,
4,1.0,10000000.0,24.305268,0.947722,12.816775,67209812.0,59244544.0,7965268.0,11.851346943211208,2,h14,,,,
167,4.0,10000000.0,32.650863,0.990225,20.098839,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h10,,,,
69,2.0,10000000.0,25.210043,0.958558,13.825622,67209812.0,66322432.0,887380.0,1.3203131709399811,2,h14,,,,
118,3.0,10000000.0,26.249081,0.969347,15.135278,67209812.0,66846720.0,363092.0,0.5402365952161866,2,h10,,,,
61,2.0,10000000.0,23.100464,0.938201,12.090203,67209812.0,65536000.0,1673812.0,2.490428034525673,2,h14,,,,
167,4.0,10000000.0,25.430961,0.970283,15.269907,67209812.0,65798144.0,1411668.0,2.1003897466637755,2,h10,,,,
82,2.0,10000000.0,24.854666,0.961069,14.097036,67209812.0,65798144.0,1411668.0,2.1003897466637755,2,h14,,,,
